field,[2021],[2020],[2019],[2018],[2017],[2016],[2015],[2014],[2013],[2012],[2011],[2010],[2009],[2008],[2007],[2006],[2005],[2004],[2002],[2001],[2003],[2000],[1999]
. Tài sản ngắn hạn khác__1,967304028.0,,3030190409.0,3521485990.0,3861925685.0,6269931708.0,6283917546.0,5940953657.0,,,,,,,,,,,,,,,
.. Chi phí trả trước ngắn hạn__1,422522918.0,,114904465.0,36389206.0,110385756.0,31335394.0,31298729.0,26983720.0,,,,,,,,,,,,,,,
.. Thuế GTGT được khấu trừ__1,136123710.0,,2506628544.0,3076439384.0,3342882529.0,5829938914.0,5836612171.0,5903909937.0,,,,,,,,,,,,,,,
.. Thuế và các khoản khác phải thu Nhà nước__1,,,,,,,7349246.0,,,,,,,,,,,,,,,,
. Giao dịch mua bán lại trái phiếu Chính phủ__1,,,,,,,,,,,,,,,,,,,,,,,
.. Tài sản ngắn hạn khác__1,408657400.0,,408657400.0,408657400.0,408657400.0,408657400.0,408657400.0,10060000.0,,,,,,,,,,,,,,,
II - TÀI SẢN DÀI HẠN__1,316094210817.0,,316496999466.0,316864985634.0,317133501832.0,315027967742.0,355632066558.0,355894434609.0,,,,,,,,,,,,,,,
. Các khoản phải thu dài hạn__1,,,,,,,,,,,,,,,,,,,,,,,
.. Phải thu dài hạn của khách hàng__1,,,,,,,,,,,,,,,,,,,,,,,
. Trả trước cho người bán dài hạn__1,,,,,,,,,,,,,,,,,,,,,,,
.. Vốn kinh doanh ở đơn vị trực thuộc__1,,,,,,,,,,,,,,,,,,,,,,,
.. Phải thu nội bộ dài hạn__1,,,,,,,,,,,,,,,,,,,,,,,
. Phải thu về cho vay dài hạn__1,,,,,,,,,,,,,,,,,,,,,,,
.. Phải thu dài hạn khác__1,,,,,,,,,,,,,,,,,,,,,,,
.. Dự phòng phải thu khó đòi__1,,,,,,,,,,,,,,,,,,,,,,,
. Tài sản cố định__1,23071068574.0,,29511871908.0,45571730482.0,45840246680.0,46203148677.0,46807247493.0,86314989019.0,,,,,,,,,,,,,,,
.. Tài sản cố định hữu hình__1,4003068574.0,,4087871908.0,7435730482.0,7704246680.0,8067148677.0,8671247493.0,9474542793.0,,,,,,,,,,,,,,,
- Nguyên giá__1,9723855520.0,,9276924131.0,13337436754.0,13249531754.0,13544091334.0,13544091334.0,13585184449.0,,,,,,,,,,,,,,,
- Giá trị hao mòn luỹ kế__1,-5720786946.0,,-5189052223.0,-5901706272.0,-5545285074.0,-5476942657.0,-4872843841.0,-4110641656.0,,,,,,,,,,,,,,,
.. Tài sản cố định thuê tài chính__1,,,,,,,,,,,,,,,,,,,,,,,
- Nguyên giá__2,,,,,,,,,,,,,,,,,,,,,,,
- Giá trị hao mòn luỹ kế__2,,,,,,,,,,,,,,,,,,,,,,,
.. Tài sản cố định vô hình__1,19068000000.0,,25424000000.0,38136000000.0,38136000000.0,38136000000.0,38136000000.0,38136000000.0,,,,,,,,,,,,,,,
- Nguyên giá__3,19106721745.0,,25462721745.0,38174721745.0,38174721745.0,38174721745.0,38174721745.0,38174721745.0,,,,,,,,,,,,,,,
- Giá trị hao mòn luỹ kế__3,-38721745.0,,-38721745.0,-38721745.0,-38721745.0,-38721745.0,-38721745.0,-38721745.0,,,,,,,,,,,,,,,
. Bất động sản đầu tư__1,21574299455.0,,15685572406.0,,,,,,,,,,,,,,,,,,,,
- Nguyên giá__4,22847263434.0,,16772512623.0,,,,,,,,,,,,,,,,,,,,
- Giá trị hao mòn luỹ kế__4,-1272963979.0,,-1086940217.0,,,,,,,,,,,,,,,,,,,,
. Tài sản dở dang dài hạn__1,40302054598.0,,40146466962.0,40146466962.0,40146466962.0,37678030875.0,37678030875.0,,,,,,,,,,,,,,,,
". Chi phí sản xuất, kinh doanh dở dang dài hạn__1",,,,,,,,,,,,,,,,,,,,,,,
. Chi phí xây dựng cơ bản dở dang__1,40302054598.0,,40146466962.0,40146466962.0,40146466962.0,37678030875.0,37678030875.0,,,,,,,,,,,,,,,,
. Đầu tư tài chính dài hạn__1,231146788190.0,,231146788190.0,231146788190.0,231146788190.0,231146788190.0,271146788190.0,,,,,,,,,,,,,,,,
. Đầu tư vào công ty con__1,,,,,,,,,,,,,,,,,,,,,,,
". Đầu tư vào công ty liên kết, liên doanh__1",,,,,,,,,,,,,,,,,,,,,,,
. Đầu tư góp vốn vào đơn vị khác__1,231146788190.0,,231146788190.0,231146788190.0,231146788190.0,231146788190.0,231146788190.0,,,,,,,,,,,,,,,,
. Dự phòng giảm giá đầu tư dài hạn__1,,,,,,,,,,,,,,,,,,,,,,,
. Đầu tư nắm giữ đến ngày đáo hạn__1,,,,,,,40000000000.0,,,,,,,,,,,,,,,,
. Tài sản dài hạn khác__1,,,6300000.0,,,,,24000000.0,,,,,,,,,,,,,,,
. Chi phí trả trước dài hạn__1,,,6300000.0,,,,,24000000.0,,,,,,,,,,,,,,,
. Tài sản thuế thu nhập hoãn lại__1,,,,,,,,,,,,,,,,,,,,,,,
". Thiết bị, vật tư, phụ tùng thay thế dài hạn__1",,,,,,,,,,,,,,,,,,,,,,,
. Tài sản dài hạn khác__2,,,,,,,,,,,,,,,,,,,,,,,
". Ký quỹ, ký cược dài hạn__1",,,,,,,,,,,,,,,,,,,,,,,
. Lợi thế thương mại__1,,,,,,,,,,,,,,,,,,,,,,,
Tổng cộng tài sản__1,561704357804.0,,402988958678.0,403273855102.0,405986571014.0,408082873282.0,411800484010.0,426365502370.0,,,,,,,,,,,,,,,
I - NỢ PHẢI TRẢ__1,47059121688.0,,23943870712.0,25949202832.0,30124186414.0,32566229320.0,37234508252.0,52088471712.0,,,,,,,,,,,,,,,
. Nợ ngắn hạn__1,47035421688.0,,23908170712.0,25949202832.0,30124186414.0,32566229320.0,37234508252.0,52088471712.0,,,,,,,,,,,,,,,
.. Phải trả người bán ngắn hạn__1,2178729280.0,,21448851581.0,24356945603.0,28387183394.0,31465961103.0,36056354028.0,,,,,,,,,,,,,,,,
.. Người mua trả tiền trước ngắn hạn__1,2211275446.0,,559370337.0,127364400.0,297720591.0,427042962.0,533640799.0,,,,,,,,,,,,,,,,
..Thuế và các khoản phải nộp Nhà nước__1,784727509.0,,291523225.0,173816306.0,562979401.0,86894624.0,,95768168.0,,,,,,,,,,,,,,,
.. Phải trả người lao động__1,1901660018.0,,1376682569.0,1150757523.0,802459689.0,577330631.0,629613425.0,717465915.0,,,,,,,,,,,,,,,
.. Chi phí phải trả ngắn hạn__1,11000000.0,,9400000.0,9200000.0,4311339.0,9000000.0,14900000.0,,,,,,,,,,,,,,,,
.. Phải trả nội bộ ngắn hạn__1,,,,,,,,,,,,,,,,,,,,,,,
.. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng__1,,,,,,,,,,,,,,,,,,,,,,,
.. Doanh thu chưa thực hiện ngắn hạn__1,,,,,,,,,,,,,,,,,,,,,,,
.. Phải trả ngắn hạn khác__1,38636408435.0,,222343000.0,70400000.0,11000000.0,,,,,,,,,,,,,,,,,,
.. Vay và nợ thuê tài chính ngắn hạn__1,,,,,,,,,,,,,,,,,,,,,,,
.. Dự phòng phải trả ngắn hạn__1,,,,,,,,,,,,,,,,,,,,,,,
". Quỹ khen thưởng, phúc lợi__1",1311621000.0,,,60719000.0,58532000.0,,,,,,,,,,,,,,,,,,
