field,[2021],[2020],[2019],[2018],[2017],[2016],[2015],[2014],[2013],[2012],[2011],[2010],[2009],[2008],[2007],[2006],[2005],[2004],[2003],[2002],[2001]
. Doanh thu bán hàng và cung cấp dịch vụ__1,1328207840944.0,919119861434.0,957969251060.0,,,,,,,,,,,,,,,,,,
. Các khoản giảm trừ doanh thu__1,727350410.0,413497239.0,,,,,,,,,,,,,,,,,,,
. Doanh thu thuần về bán hàng và cung cấp dịch vụ__1,1327480490534.0,918706364195.0,957969251060.0,,,,,,,,,,,,,,,,,,
. Giá vốn hàng bán__1,1047126158802.0,798248291293.0,820728691906.0,,,,,,,,,,,,,,,,,,
. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ__1,280354331732.0,120458072902.0,137240559154.0,,,,,,,,,,,,,,,,,,
. Doanh thu hoạt động tài chính__1,34356952119.0,29497997164.0,23536003570.0,,,,,,,,,,,,,,,,,,
. Chi phí tài chính__1,100291010368.0,73115890258.0,91958649934.0,,,,,,,,,,,,,,,,,,
- Trong đó: Chi phí lãi vay__1,48721456063.0,57271860580.0,68195924569.0,,,,,,,,,,,,,,,,,,
". Phần lãi lỗ hoặc lỗ trong công ty liên doanh, liên kết__1",57219707.0,302378153.0,153951445.0,,,,,,,,,,,,,,,,,,
. Chi phí bán hàng__1,53323818655.0,39268325776.0,40516420604.0,,,,,,,,,,,,,,,,,,
. Chi phí quản lý doanh nghiệp__1,66250190991.0,41031835854.0,61384184778.0,,,,,,,,,,,,,,,,,,
. Lợi nhuận thuần từ hoạt động kinh doanh__1,94903483544.0,-3157603669.0,-32928741147.0,,,,,,,,,,,,,,,,,,
. Thu nhập khác__1,93228308462.0,60194566931.0,109436392563.0,,,,,,,,,,,,,,,,,,
. Chi phí khác__1,16703968437.0,8378348671.0,25507522069.0,,,,,,,,,,,,,,,,,,
. Lợi nhuận khác__1,76524340025.0,51816218260.0,83928870494.0,,,,,,,,,,,,,,,,,,
. Tổng lợi nhuận kế toán trước thuế__1,171427823569.0,48658614591.0,51000129347.0,,,,,,,,,,,,,,,,,,
. Chi phí thuế TNDN hiện hành__1,41619593387.0,13424772399.0,15211647291.0,,,,,,,,,,,,,,,,,,
. Chi phí thuế TNDN hoãn lại__1,,,,,,,,,,,,,,,,,,,,,
. Lợi nhuận sau thuế thu nhập doanh nghiệp__1,129808230182.0,35233842192.0,35788482056.0,,,,,,,,,,,,,,,,,,
. Lợi ích của cổ đông thiểu số__1,30092630820.0,9598231671.0,15120124278.0,,,,,,,,,,,,,,,,,,
. Lợi nhuận sau thuế của công ty mẹ__1,99715599362.0,25635610521.0,20668357778.0,,,,,,,,,,,,,,,,,,
. Lãi cơ bản trên cổ phiếu__1,640.0,165.0,133.0,,,,,,,,,,,,,,,,,,
. Lãi suy giảm trên cổ phiếu__1,640.0,165.0,133.0,,,,,,,,,,,,,,,,,,
. Cổ tức__1,,,,,,,,,,,,,,,,,,,,,
. Phần lãi (lỗ thuần) trong công ty liên doanh/liên kết__1,,,,,,,,,,,,,,,,,,,,,
I - TÀI SẢN NGẮN HẠN__1,,352622033495.0,343729407552.0,,,,,,,,,,,,,,,,,,
. Tiền và các khoản tương đương tiền__1,,89869690988.0,110174967921.0,,,,,,,,,,,,,,,,,,
..Tiền__1,,67680805679.0,70889271656.0,,,,,,,,,,,,,,,,,,
..Các khoản tương đương tiền__1,,22188885309.0,39285696265.0,,,,,,,,,,,,,,,,,,
. Các khoản đầu tư tài chính ngắn hạn__1,,20000000000.0,33000000000.0,,,,,,,,,,,,,,,,,,
.. Chứng khoán kinh doanh__1,,,,,,,,,,,,,,,,,,,,,
.. Dự phòng giảm giá chứng khoán kinh doanh__1,,,,,,,,,,,,,,,,,,,,,
.. Đầu tư nắm giữ đến ngày đáo hạn__1,,20000000000.0,33000000000.0,,,,,,,,,,,,,,,,,,
. Các khoản phải thu ngắn hạn__1,,78171662611.0,49721535322.0,,,,,,,,,,,,,,,,,,
..Phải thu khách hàng__1,,70375079119.0,42456045233.0,,,,,,,,,,,,,,,,,,
..Trả trước cho người bán__1,,12796822189.0,10833876349.0,,,,,,,,,,,,,,,,,,
.. Phải thu nội bộ ngắn hạn__1,,,,,,,,,,,,,,,,,,,,,
.. Phải thu theo tiến độ Kế hoạch hợp đồng xây dựng__1,,,,,,,,,,,,,,,,,,,,,
. Phải thu về cho vay ngắn hạn__1,,,,,,,,,,,,,,,,,,,,,
.. Các khoản phải thu khác__1,,5934275448.0,7355833885.0,,,,,,,,,,,,,,,,,,
.. Dự phòng phải thu ngắn hạn khó đòi__1,,-10934514145.0,-10924220145.0,,,,,,,,,,,,,,,,,,
. Tài sản thiếu chờ xử lý__1,,,,,,,,,,,,,,,,,,,,,
. Hàng tồn kho__1,,162316381731.0,145261441565.0,,,,,,,,,,,,,,,,,,
.. Hàng tồn kho__1,,162316381731.0,153183335949.0,,,,,,,,,,,,,,,,,,
.. Dự phòng giảm giá hàng tồn kho__1,,,-7921894384.0,,,,,,,,,,,,,,,,,,
. Tài sản ngắn hạn khác__1,,2264298165.0,5571462744.0,,,,,,,,,,,,,,,,,,
.. Chi phí trả trước ngắn hạn__1,,87715069.0,11749900.0,,,,,,,,,,,,,,,,,,
.. Thuế GTGT được khấu trừ__1,,2160318184.0,3434152502.0,,,,,,,,,,,,,,,,,,
.. Thuế và các khoản khác phải thu Nhà nước__1,,16264912.0,2125560342.0,,,,,,,,,,,,,,,,,,
. Giao dịch mua bán lại trái phiếu Chính phủ__1,,,,,,,,,,,,,,,,,,,,,
.. Tài sản ngắn hạn khác__1,,,,,,,,,,,,,,,,,,,,,
II - TÀI SẢN DÀI HẠN__1,,2696655046600.0,2800036626159.0,,,,,,,,,,,,,,,,,,
. Các khoản phải thu dài hạn__1,,10463452108.0,10989990782.0,,,,,,,,,,,,,,,,,,
.. Phải thu dài hạn của khách hàng__1,,,,,,,,,,,,,,,,,,,,,
. Trả trước cho người bán dài hạn__1,,,,,,,,,,,,,,,,,,,,,
.. Vốn kinh doanh ở đơn vị trực thuộc__1,,,,,,,,,,,,,,,,,,,,,
.. Phải thu nội bộ dài hạn__1,,,,,,,,,,,,,,,,,,,,,
. Phải thu về cho vay dài hạn__1,,12449571868.0,14496132681.0,,,,,,,,,,,,,,,,,,
.. Phải thu dài hạn khác__1,,103109222.0,97469060.0,,,,,,,,,,,,,,,,,,
.. Dự phòng phải thu khó đòi__1,,-2089228982.0,-3603610959.0,,,,,,,,,,,,,,,,,,
. Tài sản cố định__1,,1747133726851.0,1914504603858.0,,,,,,,,,,,,,,,,,,
.. Tài sản cố định hữu hình__1,,1650022444602.0,1765405193804.0,,,,,,,,,,,,,,,,,,
- Nguyên giá__1,,2742605389464.0,2770770967352.0,,,,,,,,,,,,,,,,,,
- Giá trị hao mòn luỹ kế__1,,-1092582944862.0,-1005365773548.0,,,,,,,,,,,,,,,,,,
.. Tài sản cố định thuê tài chính__1,,,,,,,,,,,,,,,,,,,,,
- Nguyên giá__2,,,,,,,,,,,,,,,,,,,,,
- Giá trị hao mòn luỹ kế__2,,,,,,,,,,,,,,,,,,,,,
.. Tài sản cố định vô hình__1,,97111282249.0,149099410054.0,,,,,,,,,,,,,,,,,,
- Nguyên giá__3,,99821087008.0,151717413904.0,,,,,,,,,,,,,,,,,,
- Giá trị hao mòn luỹ kế__3,,-2709804759.0,-2618003850.0,,,,,,,,,,,,,,,,,,
. Bất động sản đầu tư__1,,,,,,,,,,,,,,,,,,,,,
- Nguyên giá__4,,,,,,,,,,,,,,,,,,,,,
- Giá trị hao mòn luỹ kế__4,,,,,,,,,,,,,,,,,,,,,
. Tài sản dở dang dài hạn__1,,862874164531.0,800642579161.0,,,,,,,,,,,,,,,,,,
". Chi phí sản xuất, kinh doanh dở dang dài hạn__1",,4559788911.0,5342164574.0,,,,,,,,,,,,,,,,,,
. Chi phí xây dựng cơ bản dở dang__1,,858314375620.0,795300414587.0,,,,,,,,,,,,,,,,,,
. Đầu tư tài chính dài hạn__1,,31542669148.0,31718363596.0,,,,,,,,,,,,,,,,,,
. Đầu tư vào công ty con__1,,,,,,,,,,,,,,,,,,,,,
". Đầu tư vào công ty liên kết, liên doanh__1",,7611047480.0,7786741928.0,,,,,,,,,,,,,,,,,,
. Đầu tư góp vốn vào đơn vị khác__1,,23931621668.0,23931621668.0,,,,,,,,,,,,,,,,,,
. Dự phòng giảm giá đầu tư dài hạn__1,,,,,,,,,,,,,,,,,,,,,
. Đầu tư nắm giữ đến ngày đáo hạn__1,,,,,,,,,,,,,,,,,,,,,
. Tài sản dài hạn khác__1,,44641033962.0,42181088762.0,,,,,,,,,,,,,,,,,,
. Chi phí trả trước dài hạn__1,,44641033962.0,42181088762.0,,,,,,,,,,,,,,,,,,
. Tài sản thuế thu nhập hoãn lại__1,,,,,,,,,,,,,,,,,,,,,
". Thiết bị, vật tư, phụ tùng thay thế dài hạn__1",,,,,,,,,,,,,,,,,,,,,
. Tài sản dài hạn khác__2,,,,,,,,,,,,,,,,,,,,,
". Ký quỹ, ký cược dài hạn__1",,,,,,,,,,,,,,,,,,,,,
. Lợi thế thương mại__1,,,,,,,,,,,,,,,,,,,,,
Tổng cộng tài sản__1,,3049277080095.0,3143766033711.0,,,,,,,,,,,,,,,,,,
I - NỢ PHẢI TRẢ__1,,1152291025961.0,1212441527862.0,,,,,,,,,,,,,,,,,,
. Nợ ngắn hạn__1,,723693297037.0,664743990843.0,,,,,,,,,,,,,,,,,,
.. Phải trả người bán ngắn hạn__1,,35099611449.0,34961090540.0,,,,,,,,,,,,,,,,,,
.. Người mua trả tiền trước ngắn hạn__1,,37897411391.0,18003446004.0,,,,,,,,,,,,,,,,,,
..Thuế và các khoản phải nộp Nhà nước__1,,16374863290.0,9627949595.0,,,,,,,,,,,,,,,,,,
.. Phải trả người lao động__1,,90320954557.0,98088793073.0,,,,,,,,,,,,,,,,,,
.. Chi phí phải trả ngắn hạn__1,,11727223406.0,7221331743.0,,,,,,,,,,,,,,,,,,
.. Phải trả nội bộ ngắn hạn__1,,,,,,,,,,,,,,,,,,,,,
.. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng__1,,,,,,,,,,,,,,,,,,,,,
.. Doanh thu chưa thực hiện ngắn hạn__1,,10653807.0,10653807.0,,,,,,,,,,,,,,,,,,
.. Phải trả ngắn hạn khác__1,,68510955947.0,69358120249.0,,,,,,,,,,,,,,,,,,
.. Vay và nợ thuê tài chính ngắn hạn__1,,425170040840.0,397346458232.0,,,,,,,,,,,,,,,,,,
.. Dự phòng phải trả ngắn hạn__1,,,1713584184.0,,,,,,,,,,,,,,,,,,
". Quỹ khen thưởng, phúc lợi__1",,38581582350.0,28412563416.0,,,,,,,,,,,,,,,,,,
.. Quỹ bình ổn giá__1,,,,,,,,,,,,,,,,,,,,,
.. Giao dịch mua bán lại trái phiếu Chính phủ__1,,,,,,,,,,,,,,,,,,,,,
. Nợ dài hạn__1,,428597728924.0,547697537019.0,,,,,,,,,,,,,,,,,,
.. Phải trả dài hạn người bán__1,,,,,,,,,,,,,,,,,,,,,
. Người mua trả tiền trước dài hạn__1,,,,,,,,,,,,,,,,,,,,,
. Chi phí phải trả dài hạn__1,,,,,,,,,,,,,,,,,,,,,
. Phải trả nội bộ về vốn kinh doanh__1,,,,,,,,,,,,,,,,,,,,,
. Phải trả dài hạn nội bộ dài hạn__1,,,,,,,,,,,,,,,,,,,,,
. Doanh thu chưa thực hiện dài hạn__1,,404844647.0,415498454.0,,,,,,,,,,,,,,,,,,
.. Phải trả dài hạn khác__1,,73967108422.0,69374552622.0,,,,,,,,,,,,,,,,,,
. Vay và nợ thuê tài chính dài hạn__1,,354225775855.0,477907485943.0,,,,,,,,,,,,,,,,,,
. Trái phiếu chuyển đổi__1,,,,,,,,,,,,,,,,,,,,,
. Thuế thu nhập hoãn lại phải trả__1,,,,,,,,,,,,,,,,,,,,,
.. Dự phòng phải trả dài hạn__1,,,,,,,,,,,,,,,,,,,,,
.. Quỹ phát triển khoa học và công nghệ__1,,,,,,,,,,,,,,,,,,,,,
II - VỐN CHỦ SỞ HỮU__1,,1896986054134.0,1931324505849.0,,,,,,,,,,,,,,,,,,
I. Vốn chủ sở hữu__1,,1896986054134.0,1931324505849.0,,,,,,,,,,,,,,,,,,
. Vốn góp của chủ sở hữu__1,,1558000000000.0,1558000000000.0,,,,,,,,,,,,,,,,,,
- Cổ phiếu phổ thông có quyền biểu quyết__1,,1558000000000.0,1558000000000.0,,,,,,,,,,,,,,,,,,
- Cổ phiếu ưu đãi__1,,,,,,,,,,,,,,,,,,,,,
. Cổ phiếu ưu đãi__1,,,,,,,,,,,,,,,,,,,,,
. Thặng dư vốn cổ phần__1,,,,,,,,,,,,,,,,,,,,,
. Quyền chọn chuyển đổi trái phiếu__1,,,,,,,,,,,,,,,,,,,,,
. Vốn khác của chủ sở hữu__1,,,,,,,,,,,,,,,,,,,,,
. Cổ phiếu quỹ (*)__1,,,,,,,,,,,,,,,,,,,,,
. Chênh lệch đánh giá lại tài sản__1,,,,,,,,,,,,,,,,,,,,,
. Chênh lệch tỷ giá hối đoái__1,,-51690987999.0,-31989043382.0,,,,,,,,,,,,,,,,,,
. Quỹ đầu tư phát triển__1,,17939171577.0,5443978289.0,,,,,,,,,,,,,,,,,,
. Quỹ hỗ trợ sắp xếp doanh nghiệp__1,,,,,,,,,,,,,,,,,,,,,
. Quỹ khác thuộc vốn chủ sở hữu__1,,,,,,,,,,,,,,,,,,,,,
. Lợi nhuận sau thuế chưa phân phối__1,,98899994328.0,105939136094.0,,,,,,,,,,,,,,,,,,
- LNST chưa phân phối lũy kế đến cuối kỳ trước__1,,25635610521.0,19509231462.0,,,,,,,,,,,,,,,,,,
- LNST chưa phân phối kỳ này__1,,73264383807.0,86429904632.0,,,,,,,,,,,,,,,,,,
. Nguồn vốn đầu tư XDCB__1,,,,,,,,,,,,,,,,,,,,,
. Lợi ích cổ đông không kiểm soát__1,,273837876228.0,293930434848.0,,,,,,,,,,,,,,,,,,
. Phụ trội hợp nhất công ty con__1,,,,,,,,,,,,,,,,,,,,,
. Nguồn kinh phí và các quỹ khác__1,,,,,,,,,,,,,,,,,,,,,
.. Nguồn kinh phí__1,,,,,,,,,,,,,,,,,,,,,
.. Nguồn kinh phí đã hình thành TSCĐ__1,,,,,,,,,,,,,,,,,,,,,
III - LỢI ÍCH CỦA CỔ ĐÔNG THIỂU SỐ__1,,,,,,,,,,,,,,,,,,,,,
Tổng cộng nguồn vốn__1,,3049277080095.0,3143766033711.0,,,,,,,,,,,,,,,,,,
.. Đầu tư ngắn hạn__1,,,,,,,,,,,,,,,,,,,,,
.. Dự phòng giảm giá đầu tư ngắn hạn__1,,,,,,,,,,,,,,,,,,,,,
.. Giao dịch mua bán lại trái phiếu chính phủ__1,,,,,,,,,,,,,,,,,,,,,
.. Phải thu dài hạn nội bộ__1,,,,,,,,,,,,,,,,,,,,,
.. Chi phí xây dựng cơ bản dở dang__1,,,,,,,,,,,,,,,,,,,,,
. Các khoản đầu tư tài chính dài hạn__1,,,,,,,,,,,,,,,,,,,,,
. Đầu tư dài hạn khác__1,,,,,,,,,,,,,,,,,,,,,
.. Vay và nợ ngắn hạn__1,,,,,,,,,,,,,,,,,,,,,
.. Phải trả người bán__1,,,,,,,,,,,,,,,,,,,,,
.. Người mua trả tiền trước__1,,,,,,,,,,,,,,,,,,,,,
.. Chi phí phải trả__1,,,,,,,,,,,,,,,,,,,,,
.. Phải trả nội bộ__1,,,,,,,,,,,,,,,,,,,,,
".. Các khoản phải trả, phải nộp ngắn hạn khác__1",,,,,,,,,,,,,,,,,,,,,
.. Quỹ khen thưởng phúc lợi__1,,,,,,,,,,,,,,,,,,,,,
.. Giao dịch mua bán lại trái phiếu chính phủ__2,,,,,,,,,,,,,,,,,,,,,
.. Doanh thu chưa thực hiện__1,,,,,,,,,,,,,,,,,,,,,
. Quỹ thưởng ban quản lý điều hành công ty__1,,,,,,,,,,,,,,,,,,,,,
.. Phải trả dài hạn nội bộ__1,,,,,,,,,,,,,,,,,,,,,
.. Vay và nợ dài hạn__1,,,,,,,,,,,,,,,,,,,,,
.. Thuế thu nhập hoãn lại phải trả__1,,,,,,,,,,,,,,,,,,,,,
.. Dự phòng trợ cấp mất việc làm__1,,,,,,,,,,,,,,,,,,,,,
.. Doanh thu chưa thực hiện__2,,,,,,,,,,,,,,,,,,,,,
.. Quỹ phát triển khoa học công nghệ__1,,,,,,,,,,,,,,,,,,,,,
. Vốn chủ sở hữu__1,,,,,,,,,,,,,,,,,,,,,
.. Vốn đầu tư của chủ sở hữu__1,,,,,,,,,,,,,,,,,,,,,
.. Thặng dư vốn cổ phần__1,,,,,,,,,,,,,,,,,,,,,
.. Vốn khác của chủ sở hữu__1,,,,,,,,,,,,,,,,,,,,,
.. Cổ phiếu quỹ (*)__1,,,,,,,,,,,,,,,,,,,,,
.. Chênh lệch đánh giá lại tài sản__1,,,,,,,,,,,,,,,,,,,,,
.. Chênh lệch tỷ giá hối đoái__1,,,,,,,,,,,,,,,,,,,,,
.. Quỹ đầu tư phát triển__1,,,,,,,,,,,,,,,,,,,,,
.. Quỹ dự phòng tài chính__1,,,,,,,,,,,,,,,,,,,,,
.. Quỹ khác thuộc vốn chủ sở hữu__1,,,,,,,,,,,,,,,,,,,,,
.. Lợi nhuận sau thuế chưa phân phối__1,,,,,,,,,,,,,,,,,,,,,
.. Nguồn vốn đầu tư XDCB__1,,,,,,,,,,,,,,,,,,,,,
.. Quỹ hỗ trợ sắp xếp doanh nghiệp__1,,,,,,,,,,,,,,,,,,,,,
.. Quỹ dự trữ vốn điều lệ__1,,,,,,,,,,,,,,,,,,,,,
.. Quỹ khen thưởng phúc lợi__2,,,,,,,,,,,,,,,,,,,,,
I. LƯU CHUYỂN TIỀN TỪ HOẠT ĐỘNG KINH DOANH__1,,,,,,,,,,,,,,,,,,,,,
Lợi nhuận (lỗ) trước thuế__1,,48658614591.0,51000129347.0,,,,,,,,,,,,,,,,,,
Điều chỉnh cho các khoản:__1,,,,,,,,,,,,,,,,,,,,,
Khấu hao tài sản cố định__1,,136576216968.0,131244942020.0,,,,,,,,,,,,,,,,,,
Các khoản dự phòng__1,,-4636638358.0,16758883345.0,,,,,,,,,,,,,,,,,,
"Lãi, lỗ từ đầu tư vào công ty liên kết__1",,,,,,,,,,,,,,,,,,,,,
