field,[2021],[2019],[2018],[2017],[2016],[2015],[2014],[2013],[2012],[2011],[2010],[2009],[2008],[2007],[2006],[2005],[2004],[2003],[2002],[2001],[2020],[2000],[1997]
. Doanh thu bán hàng và cung cấp dịch vụ__1,203374681609.0,292716586039.0,281772065235.0,304435068425.0,329378220054.0,305866150568.0,,,,,,,,,,,,,,,,,
. Các khoản giảm trừ doanh thu__1,228675210.0,791730983.0,3717840319.0,1036283184.0,727471953.0,2098703806.0,,,,,,,,,,,,,,,,,
. Doanh thu thuần về bán hàng và cung cấp dịch vụ__1,203146006399.0,291924855056.0,278054224916.0,303398785241.0,328650748101.0,303767446762.0,,,,,,,,,,,,,,,,,
. Giá vốn hàng bán__1,165656803673.0,232807619891.0,209702605734.0,217562644891.0,255746265870.0,254308224840.0,,,,,,,,,,,,,,,,,
. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ__1,37489202726.0,59117235165.0,68351619182.0,85836140350.0,72904482231.0,49459221922.0,,,,,,,,,,,,,,,,,
. Doanh thu hoạt động tài chính__1,66291045.0,380136767.0,177468025.0,191004994.0,210046426.0,179962051.0,,,,,,,,,,,,,,,,,
. Chi phí tài chính__1,6241822503.0,8298441711.0,6276305317.0,4762603640.0,5330655484.0,6100679670.0,,,,,,,,,,,,,,,,,
- Trong đó: Chi phí lãi vay__1,5966644491.0,8056192804.0,5974024167.0,4562021339.0,4874722892.0,5815119878.0,,,,,,,,,,,,,,,,,
". Phần lãi lỗ hoặc lỗ trong công ty liên doanh, liên kết__1",,,,,,,,,,,,,,,,,,,,,,,
. Chi phí bán hàng__1,10230111607.0,21605516250.0,27826960376.0,34925311510.0,27676616929.0,21014222695.0,,,,,,,,,,,,,,,,,
. Chi phí quản lý doanh nghiệp__1,19427472921.0,22561954592.0,22234584377.0,33726207172.0,30137597356.0,15904519885.0,,,,,,,,,,,,,,,,,
. Lợi nhuận thuần từ hoạt động kinh doanh__1,1656086740.0,7031459379.0,12191237137.0,12613023022.0,9969658888.0,6619761723.0,,,,,,,,,,,,,,,,,
. Thu nhập khác__1,449539198.0,1365839943.0,2007592339.0,1045628861.0,869452699.0,704906366.0,,,,,,,,,,,,,,,,,
. Chi phí khác__1,966113428.0,88662651.0,170691003.0,69730911.0,10520391.0,124434143.0,,,,,,,,,,,,,,,,,
. Lợi nhuận khác__1,-516574230.0,1277177292.0,1836901336.0,975897950.0,858932308.0,580472223.0,,,,,,,,,,,,,,,,,
. Tổng lợi nhuận kế toán trước thuế__1,1139512510.0,8308636671.0,14028138473.0,13588920972.0,10828591196.0,7200233946.0,,,,,,,,,,,,,,,,,
