field,[2021],[2018],[2017],[2016],[2015],[2014],[2013],[2012],[2011],[2010],[2009],[2008],[2007],[2006],[2005],[2004],[2003],[2002],[2001],[2000],[2020],[2019]
. Doanh thu bán hàng và cung cấp dịch vụ__1,136528897362.0,260193660805.0,303401626741.0,292552683492.0,326366284685.0,347743176233.0,377499443436.0,304368405330.0,306591962677.0,279885894260.0,260618774700.0,273140935317.0,166209849884.0,151117807248.0,228505000000.0,,,,,,,
. Các khoản giảm trừ doanh thu__1,,1060734273.0,2156730601.0,2274519110.0,1413244066.0,641976233.0,2539717482.0,1671011153.0,203232723.0,271538657.0,973629363.0,4204656850.0,3102102227.0,354755241.0,639000000.0,,,,,,,
. Doanh thu thuần về bán hàng và cung cấp dịch vụ__1,136528897362.0,259132926532.0,301244896140.0,290278164382.0,324953040619.0,347101200000.0,374959725954.0,302697394177.0,306388729954.0,279614355603.0,259645145337.0,268936278467.0,163107747657.0,150763052007.0,227866000000.0,,,,,,,
. Giá vốn hàng bán__1,155081292406.0,270000871155.0,285759160966.0,272482218622.0,318813372060.0,321351259411.0,322669644884.0,255020708053.0,255579295006.0,239377341148.0,219026935846.0,230463793745.0,150644821157.0,145783781111.0,190964000000.0,,,,,,,
. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ__1,-18552395044.0,-10867944623.0,15485735174.0,17795945760.0,6139668559.0,25749940589.0,52290081070.0,47676686124.0,50809434948.0,40237014455.0,40618209491.0,38472484722.0,12462926500.0,4979270896.0,36902000000.0,,,,,,,
. Doanh thu hoạt động tài chính__1,1341391244.0,234948722.0,581207037.0,1474709702.0,738858197.0,329848561.0,949872323.0,328723491.0,4182201257.0,4480415950.0,3804307464.0,1596279935.0,802543393.0,1689138757.0,544000000.0,,,,,,,
. Chi phí tài chính__1,6419942533.0,10070035014.0,7226122082.0,9389236073.0,18833040532.0,10363674487.0,9732430319.0,11082437537.0,24821153861.0,20013654492.0,13649672911.0,7307761255.0,1119678388.0,2357694093.0,2797000000.0,,,,,,,
- Trong đó: Chi phí lãi vay__1,5027751614.0,8637088282.0,6759684266.0,7359301159.0,11400185485.0,8886310225.0,7454006426.0,10895677447.0,8904481686.0,8654932462.0,5546378517.0,3416925542.0,736097137.0,822690047.0,,,,,,,,
". Phần lãi lỗ hoặc lỗ trong công ty liên doanh, liên kết__1",,,,,,,,,,,,,,,,,,,,,,
. Chi phí bán hàng__1,5006101889.0,12563258580.0,11040727345.0,7313337149.0,10416689789.0,11731777319.0,13621653974.0,13606870433.0,19051239804.0,14745655282.0,19533696435.0,5367514682.0,4467813080.0,4341243400.0,7380000000.0,,,,,,,
. Chi phí quản lý doanh nghiệp__1,8593564226.0,11914864541.0,12117546002.0,11637692209.0,12159095388.0,15282771936.0,19528928555.0,19091414535.0,12460836537.0,8443276479.0,6838867813.0,6347714767.0,5059447010.0,7916300096.0,5662000000.0,,,,,,,
. Lợi nhuận thuần từ hoạt động kinh doanh__1,-37230612448.0,-45181154036.0,-14317453218.0,-9069609969.0,-34530298953.0,-11298434592.0,10356940545.0,4224687110.0,-1341593997.0,1514844152.0,4400279796.0,21045773953.0,2618531415.0,-7946827936.0,21607000000.0,,,,,,,
. Thu nhập khác__1,2748743.0,140095163.0,3971046532.0,1155748758.0,217493203.0,5020498249.0,2555255147.0,1278153090.0,6879946579.0,1076615702.0,446048896.0,1766208035.0,2151557055.0,807701385.0,1630000000.0,,,,,,,
. Chi phí khác__1,619406979.0,6504732641.0,2754820154.0,1008430978.0,1985182845.0,7165694100.0,1216165096.0,1716278227.0,2949567494.0,890303483.0,1804513036.0,5950206331.0,1083525703.0,101536951.0,3093000000.0,,,,,,,
. Lợi nhuận khác__1,-616658236.0,-6364637478.0,1216226378.0,147317780.0,-1767689642.0,-2145195851.0,1339090051.0,-438125137.0,3930379085.0,186312219.0,-1358464140.0,-4183998296.0,1068031352.0,706164434.0,-1463000000.0,,,,,,,
. Tổng lợi nhuận kế toán trước thuế__1,-37847270684.0,-51545791514.0,-13101226840.0,-8922292189.0,-36297988595.0,-13443630443.0,11696030596.0,3786561973.0,2588785088.0,1701156371.0,3041815656.0,16861775657.0,3686562767.0,-7240663502.0,20144000000.0,,,,,,,
. Chi phí thuế TNDN hiện hành__1,,,,,1193421513.0,,2084388785.0,1646274058.0,677844638.0,2755945831.0,1096165653.0,1934591693.0,,,1664000000.0,,,,,,,
. Chi phí thuế TNDN hoãn lại__1,,,,,,,,,640234477.0,-590463035.0,-186463134.0,-131809881.0,,,,,,,,,,
. Lợi nhuận sau thuế thu nhập doanh nghiệp__1,-37847270684.0,-51545791514.0,-13101226840.0,-8922292189.0,-37491410108.0,-13443630443.0,9611641811.0,2140287915.0,1270705973.0,-464326425.0,2132113137.0,15058993845.0,3686562767.0,-7240663502.0,18480000000.0,,,,,,,
. Lợi ích của cổ đông thiểu số__1,,,,,,,,,,,,,,,,,,,,,,
. Lợi nhuận sau thuế của công ty mẹ__1,-37847270684.0,-51545791514.0,-13101226840.0,-8922292189.0,-37491410108.0,-13443630443.0,9611641811.0,2140287915.0,1270705973.0,-464326425.0,2132113137.0,15058993845.0,3686562767.0,-7240663502.0,18480000000.0,,,,,,,
. Lãi cơ bản trên cổ phiếu__1,-4184.0,,-1448.0,-986.0,-4144.0,-1486.0,1062.0,237.0,140.0,-51.0,236.0,,408.0,,,,,,,,,
. Lãi suy giảm trên cổ phiếu__1,,,,,,,,,,,,,,,,,,,,,,
. Cổ tức__1,,,,,,,,,,,,,,,,,,,,,,
. Phần lãi (lỗ thuần) trong công ty liên doanh/liên kết__1,,,,,,,,,,,,,,,,,,,,,,
I - TÀI SẢN NGẮN HẠN__1,160561007737.0,158221454346.0,217396968944.0,209970921748.0,209897908205.0,274587106970.0,227871958425.0,238350273437.0,258292828107.0,202720877605.0,205530183902.0,179229487770.0,136115191586.0,124084458448.0,,,,,,,,163924313641.0
. Tiền và các khoản tương đương tiền__1,1782001427.0,6319238717.0,28907974937.0,6031919336.0,1115823542.0,6906199320.0,11711650221.0,4187567859.0,5624147403.0,13975055455.0,3198709570.0,7413097904.0,9099108702.0,6983896360.0,,,,,,,,18285464144.0
..Tiền__1,1155001427.0,3707238717.0,18907974937.0,6031919336.0,1115823542.0,6906199320.0,11711650221.0,4187567859.0,5624147403.0,13975055455.0,3198709570.0,7413097904.0,9099108702.0,6983896360.0,,,,,,,,15673464144.0
..Các khoản tương đương tiền__1,627000000.0,2612000000.0,10000000000.0,,,,,,,,,,,,,,,,,,,2612000000.0
. Các khoản đầu tư tài chính ngắn hạn__1,,,,,,,,,,5200000000.0,,,,,,,,,,,,
.. Chứng khoán kinh doanh__1,,,,,,,,,,,,,,,,,,,,,,
.. Dự phòng giảm giá chứng khoán kinh doanh__1,,,,,,,,,,,,,,,,,,,,,,
.. Đầu tư nắm giữ đến ngày đáo hạn__1,,,,,,,,,,,,,,,,,,,,,,
. Các khoản phải thu ngắn hạn__1,17597145898.0,23364606843.0,20884506077.0,26761530346.0,26559036237.0,23290869000.0,25422446314.0,43058565537.0,52510131104.0,62170835223.0,57982136316.0,34429495461.0,35149701148.0,42950350470.0,,,,,,,,21572859103.0
..Phải thu khách hàng__1,35640694152.0,41564153259.0,36277266028.0,37232688110.0,43505570007.0,33717554532.0,35441977412.0,45070300852.0,50934699403.0,49566070481.0,50553066133.0,26461203207.0,25865402793.0,40250132981.0,,,,,,,,39352090630.0
..Trả trước cho người bán__1,1233822254.0,1878184303.0,2523238493.0,6355261174.0,1783145080.0,4552143879.0,7096328873.0,6743047737.0,857968929.0,11780089602.0,7574878669.0,8028320304.0,9509362817.0,3277898238.0,,,,,,,,1602829261.0
.. Phải thu nội bộ ngắn hạn__1,,,,,,,,,,,,,,,,,,,,,,
.. Phải thu theo tiến độ Kế hoạch hợp đồng xây dựng__1,,,,,,,,,,,,,,,,,,,,,,
. Phải thu về cho vay ngắn hạn__1,,,,,,,,,,,,,,,,,,,,,,
.. Các khoản phải thu khác__1,4198185213.0,3397825002.0,3109089213.0,2957266237.0,1088961317.0,4192478469.0,1283243846.0,1833577437.0,717462772.0,940553285.0,23929000.0,405318945.0,122233457.0,659223724.0,,,,,,,,4093494933.0
.. Dự phòng phải thu ngắn hạn khó đòi__1,-23475555721.0,-23475555721.0,-21025087657.0,-19818640167.0,-19818640167.0,-19171307880.0,-18399103817.0,-10588360489.0,,-115878145.0,-169737486.0,-465346995.0,-347297919.0,-1236904473.0,,,,,,,,-23475555721.0
. Tài sản thiếu chờ xử lý__1,,,,34954992.0,,,,,,,,,,,,,,,,,,
. Hàng tồn kho__1,137491798512.0,121057359582.0,148501748729.0,168409094293.0,169341029218.0,226747446277.0,181263655892.0,184378314090.0,184591607464.0,113624922702.0,133341239133.0,133032497286.0,83867998222.0,71403268566.0,,,,,,,,113690313978.0
.. Hàng tồn kho__1,141387820040.0,124953381110.0,152471510440.0,171472396974.0,182499466656.0,242927899963.0,196290202172.0,193511673666.0,189773210362.0,116914988210.0,135508293881.0,136721920123.0,84270592955.0,71660316058.0,,,,,,,,117586335506.0
.. Dự phòng giảm giá hàng tồn kho__1,-3896021528.0,-3896021528.0,-3969761711.0,-3063302681.0,-13158437438.0,-16180453686.0,-15026546280.0,-9133359576.0,-5181602898.0,-3290065508.0,-2167054748.0,-3689422837.0,-402594733.0,-257047492.0,,,,,,,,-3896021528.0
. Tài sản ngắn hạn khác__1,3690061900.0,7480249204.0,19102739201.0,8768377773.0,12882019208.0,17642592373.0,9474205998.0,6725825951.0,15566942136.0,7750064225.0,11008098883.0,4354397119.0,7998383514.0,2746943052.0,,,,,,,,10375676416.0
