Time,Stock,Money
14/03/2022,-1,14%
28/07/2021,-1,-1
27/05/2021,-1,15%
10/02/2020,-1,14%
08/03/2019,-1,14%
27/02/2018,-1,14%
08/03/2017,-1,14%
08/04/2016,-1,15%
18/01/2016,5:1,-1
23/10/2014,100:20,-1
06/08/2013,10:1,-1
25/02/2013,-1,10%
28/12/2011,-1,15%
09/02/2011,-1,15%
