Time,Stock,Money
14/04/2022,-1,15%
21/02/2022,-1,15%
15/04/2021,-1,15%
17/02/2021,-1,15%
20/04/2020,-1,10%
28/02/2020,-1,20%
27/05/2019,-1,12%
27/02/2019,-1,15%
13/06/2018,-1,14%
23/03/2018,-1,16%
28/04/2017,-1,18%
19/08/2016,-1,13%
01/04/2015,-1,15%
02/04/2014,-1,15%
01/04/2013,-1,15%
29/03/2012,-1,15%
06/04/2011,-1,15%
