Time,Stock,Money
11/01/2022,-1,10%
15/01/2021,-1,-1
03/12/2020,-1,10%
24/04/2020,-1,10%
15/07/2019,-1,20%
11/06/2019,-1,-1
26/04/2019,-1,-1
31/10/2018,-1,10%
15/06/2018,-1,10%
02/05/2018,-1,-1
28/02/2018,-1,10%
29/08/2017,-1,10%
23/05/2017,-1,-1
30/11/2016,-1,20%
19/04/2016,-1,10%
08/12/2015,-1,20%
06/05/2015,-1,10%
11/12/2014,-1,20%
24/04/2014,-1,20%
06/12/2012,-1,20%
14/12/2011,-1,20%
08/12/2008,-1,20%
