Time,Stock,Money
19/01/2022,-1,10%
22/01/2021,-1,10%
19/03/2020,-1,10%
05/09/2019,-1,20%
31/07/2018,-1,30%
29/01/2018,-1,10%
29/06/2017,-1,10%
09/02/2017,-1,20%
09/08/2016,-1,25%
29/01/2016,-1,7%
28/10/2015,-1,15%
28/07/2015,-1,15%
09/04/2015,-1,15%
27/01/2015,-1,15%
23/10/2014,-1,15%
25/07/2014,-1,15%
18/04/2014,-1,15%
23/01/2014,-1,15%
24/10/2013,-1,15%
23/07/2013,-1,30%
31/05/2013,-1,-1
01/11/2012,-1,15%
01/08/2012,-1,30%
25/04/2012,-1,15%
30/01/2012,-1,15%
27/10/2011,-1,15%
11/08/2011,-1,15%
27/04/2011,-1,15%
25/01/2011,-1,30%
20/01/2010,-1,20%
08/12/2008,-1,10%
