Time,Stock,Money
24/09/2021,-1,5%
25/03/2020,-1,10%
06/09/2018,-1,15%
29/03/2018,-1,15%
18/01/2018,-1,15%
30/05/2017,-1,10%
10/04/2017,-1,15%
07/12/2016,-1,15%
10/06/2016,10:1,10%
03/08/2015,-1,15%
29/05/2015,-1,5%
13/01/2015,100:20,-1
23/04/2014,-1,10%
24/10/2013,-1,10%
10/06/2013,-1,5%
19/02/2013,-1,5%
22/08/2012,-1,5%
27/02/2012,-1,5%
27/12/2011,-1,10%
12/07/2011,-1,12%
22/09/2010,-1,10%
02/12/2009,-1,4%
