Time,Stock,Money
18/01/2022,-1,8%
13/07/2020,-1,8%
17/05/2019,-1,8%
17/05/2018,-1,7%
27/06/2017,-1,6%
15/03/2017,-1,4%
30/06/2016,-1,6%
10/03/2016,-1,15%
22/12/2015,-1,15%
21/05/2014,-1,10%
29/11/2013,-1,15%
07/08/2013,-1,35%
28/11/2012,-1,10%
14/08/2012,-1,20%
19/04/2012,-1,30%
06/12/2011,-1,10%
28/07/2011,-1,10%
14/04/2010,-1,12%
25/11/2009,-1,10%
10/08/2009,-1,8%
