Time,Stock,Money
16/12/2021,-1,15%
17/12/2020,-1,25%
17/12/2019,-1,50%
25/09/2019,-1,10%
21/12/2018,-1,40%
24/10/2018,-1,30%
07/08/2018,-1,20%
29/11/2017,-1,10%
26/09/2017,-1,20%
27/06/2017,-1,20%
22/11/2016,-1,10%
30/08/2016,-1,15%
17/06/2016,-1,20%
18/12/2015,-1,15%
23/03/2015,-1,15%
29/07/2014,-1,10%
21/04/2014,-1,15%
04/12/2013,-1,15%
12/06/2013,-1,10%
22/04/2013,-1,15%
12/11/2012,-1,15%
06/07/2012,-1,20%
17/05/2012,-1,15%
23/09/2011,-1,10%
06/05/2011,-1,15%
07/12/2010,-1,15%
23/06/2010,-1,5%
22/03/2010,-1,15%
