Time,Stock,Money
22/10/2020,-1,10%
27/12/2018,-1,-1
23/06/2017,-1,-1
01/03/2017,-1,5.5%
26/12/2016,-1,6.5%
01/11/2016,-1,-1
27/09/2016,-1,-1
18/07/2016,-1,6.5%
18/11/2015,-1,-1
03/11/2015,-1,8%
14/09/2015,-1,10%
21/07/2015,-1,-1
06/07/2015,-1,-1
23/06/2015,-1,-1
12/02/2015,-1,12%
15/01/2015,-1,-1
23/12/2014,-1,-1
13/11/2014,-1,-1
28/07/2014,-1,-1
07/05/2014,-1,-1
02/01/2014,-1,12%
18/09/2013,-1,4%
14/11/2012,-1,8%
24/08/2012,-1,-1
07/05/2012,-1,18%
25/02/2011,-1,8%
10/12/2010,-1,10%
14/01/2010,-1,10%
24/08/2009,-1,10%
23/02/2009,-1,9%
