Time,Stock,Money
08/10/2020,-1,25%
09/09/2019,-1,25%
21/08/2018,-1,10%
27/12/2017,-1,15%
13/07/2017,-1,20%
16/06/2016,-1,-1
31/05/2016,-1,20%
09/09/2015,-1,10%
04/03/2015,-1,8%
28/07/2014,-1,7%
17/01/2014,-1,-1
12/11/2013,-1,15%
07/05/2013,-1,7%
22/11/2012,-1,15%
25/06/2012,-1,12%
10/01/2012,-1,10%
20/06/2011,-1,12%
23/02/2011,-1,10%
24/08/2009,10:3,-1
23/04/2009,-1,10%
