Time,Stock,Money
28/12/2021,-1,15%
26/02/2021,-1,25%
21/02/2020,-1,24%
30/12/2019,-1,36%
22/02/2019,-1,29%
02/01/2019,-1,36%
06/03/2018,-1,20%
08/01/2018,-1,36%
16/02/2017,-1,14%
22/12/2016,-1,36%
17/03/2016,100:25,11%
31/12/2015,-1,36%
16/03/2015,-1,29%
07/01/2015,-1,16%
22/10/2014,-1,20%
26/02/2014,-1,24%
26/12/2013,-1,16%
26/08/2013,-1,20%
06/03/2013,-1,24%
02/01/2013,-1,30%
02/03/2012,-1,28%
27/12/2011,-1,24%
07/12/2010,-1,20%
