Time,Stock,Money
19/07/2021,-1,-1
13/07/2021,-1,3%
13/10/2020,-1,-1
27/09/2019,-1,-1
25/06/2019,-1,-1
01/08/2018,100:10,-1
11/12/2017,-1,3%
