Time,Stock,Money
26/05/2022,-1,2.9%
24/06/2021,-1,2.5%
02/07/2020,-1,2.187%
14/06/2019,-1,1.96%
09/08/2018,-1,1.93%
17/05/2018,-1,1.93%
