Time,Stock,Money
29/11/2021,10:1,2.5%
06/08/2020,-1,5%
17/05/2018,-1,5%
18/05/2017,-1,5%
11/05/2016,-1,5%
07/08/2014,-1,-1
18/07/2014,-1,-1
09/06/2014,-1,-1
08/04/2014,-1,6%
