Time,Stock,Money
06/04/2022,-1,4.5%
02/04/2021,-1,4.5%
16/04/2020,-1,4%
17/04/2019,-1,4%
09/05/2018,-1,4%
26/04/2017,-1,4%
22/04/2016,-1,4.5%
23/04/2015,-1,5%
16/05/2014,-1,6%
17/04/2013,-1,6%
25/04/2012,-1,3%
01/06/2011,-1,-1
