Time,Stock,Money
19/02/2021,-1,7%
05/01/2021,-1,-1
30/10/2019,-1,10%
15/08/2019,-1,-1
14/11/2018,-1,8%
03/04/2018,-1,15%
21/03/2017,-1,10%
20/12/2016,20:3,-1
28/01/2016,-1,10%
26/11/2015,100:10,-1
20/08/2014,-1,10%
24/03/2014,-1,10%
07/08/2013,-1,10%
27/03/2013,-1,10%
31/07/2012,-1,10%
12/03/2012,-1,10%
01/08/2011,-1,10%
30/06/2010,-1,10%
04/01/2010,-1,10%
