Time,Stock,Money
23/05/2022,-1,10%
29/09/2021,-1,10%
30/06/2021,100:20,-1
23/12/2020,-1,20%
28/08/2020,-1,10%
29/06/2020,100:10,10%
03/01/2020,-1,10%
13/06/2019,-1,10%
30/05/2019,100:10,-1
02/10/2018,-1,10%
19/04/2018,100:50,-1
28/12/2017,-1,20%
22/09/2017,-1,10%
02/06/2017,10:1,-1
12/05/2017,-1,10%
