Time,Stock,Money
26/05/2022,-1,25%
25/03/2022,-1,15%
15/06/2021,100:10,-1
27/05/2021,-1,35%
25/12/2020,-1,15%
24/07/2020,100:10,-1
29/06/2020,-1,10%
24/04/2020,-1,10%
28/05/2019,100:10,-1
17/05/2019,-1,20.22%
02/04/2019,-1,10%
11/06/2018,20:3,-1
17/05/2018,-1,27%
17/10/2017,-1,-1
27/12/2016,-1,20%
