Time,Stock,Money
05/10/2020,-1,-1
17/09/2020,-1,3%
04/10/2019,-1,5%
03/09/2019,-1,-1
27/08/2018,-1,-1
18/05/2018,-1,6%
25/09/2017,-1,4%
