Time,Stock,Money
09/05/2022,-1,20%
10/01/2022,-1,30%
13/05/2021,-1,30%
21/10/2020,-1,15%
21/05/2020,-1,20%
11/11/2019,-1,15%
11/06/2019,-1,20%
04/07/2018,-1,20%
11/10/2017,-1,10%
24/05/2017,-1,10%
04/01/2017,-1,5%
17/10/2016,-1,10%
21/06/2016,-1,10%
03/09/2015,-1,10%
07/05/2015,-1,8%
16/05/2014,-1,5%
09/05/2013,-1,7%
23/05/2012,-1,10%
03/11/2011,-1,10%
26/05/2011,-1,10%
23/11/2010,-1,10%
19/07/2010,-1,20%
20/08/2009,-1,10%
